Num	Fecha	Tipo	Autorizacion	Codigo1	Codigo2	Sucursal	Referencia	Referencia Alfanumerica	Importe
253	09/05/2014	A	843486	15	0	4184	5023758781	5023758781	232.00
254	09/05/2014	A	843486	7	31	4184	5023758781	232	0.00
255	09/05/2014	A	843494	15	0	4184	5023138570	5023138570	488.00
256	09/05/2014	A	843494	7	31	4184	5023138570	488	0.00
257	09/05/2014	A	843622	15	0	4184	5023496176	5023496176	474.00
258	09/05/2014	A	843622	7	31	4184	5023496176	474	0.00
259	09/05/2014	A	852363	15	0	947	5023704322	5023704322	481.00
260	09/05/2014	A	852363	7	31	947	5023704322	481	0.00
261	09/05/2014	A	874844	15	0	100	5023121477	5023121477	76.00
262	09/05/2014	A	874844	7	31	100	5023121477	76	0.00
263	09/05/2014	A	875058	15	0	100	5026667849	5026667849	249.00
264	09/05/2014	A	875058	7	31	100	5026667849	249	0.00
265	09/05/2014	A	881872	15	0	516	5023769200	5023769200	604.00
266	09/05/2014	A	881872	7	31	516	5023769200	604	0.00
267	09/05/2014	A	889132	15	0	490	5023953069	5023953069	197.00
268	09/05/2014	A	889132	7	31	490	5023953069	197	0.00
269	09/05/2014	A	898930	15	0	4370	1000014512	1000014512	517.00
270	09/05/2014	A	898930	7	31	4370	1000014512	517	0.00
271	09/05/2014	A	908117	15	0	4340	5023742207	5023742207	426.00
272	09/05/2014	A	908117	7	31	4340	5023742207	426	0.00
273	09/05/2014	A	908304	15	0	4340	5023316051	5023316051	307.00
274	09/05/2014	A	908304	7	31	4340	5023316051	307	0.00
275	09/05/2014	A	909877	15	0	4641	1000013381	1000013381	733.00
276	09/05/2014	A	909877	7	31	4641	1000013381	733	0.00
277	09/05/2014	A	932286	15	0	4145	1000033223	1000033223	508.00
278	09/05/2014	A	932286	7	31	4145	1000033223	508	0.00
279	09/05/2014	A	935318	15	0	958	5023127086	5023127086	265.00
280	09/05/2014	A	935318	7	31	958	5023127086	265	0.00
281	09/05/2014	A	949949	15	0	4266	5025565218	5025565218	294.00
282	09/05/2014	A	949949	7	31	4266	5025565218	294	0.00
283	09/05/2014	A	953694	15	0	375	5023805343	5023805343	371.00
284	09/05/2014	A	953694	7	31	375	5023805343	371	0.00
285	09/05/2014	A	953812	15	0	375	5023356214	5023356214	278.00
286	09/05/2014	A	953812	7	31	375	5023356214	278	0.00
287	09/05/2014	A	960514	15	0	991	1000045664	1000045664	407.00
288	09/05/2014	A	960514	7	31	991	1000045664	407	0.00
289	09/05/2014	A	968855	15	0	199	5023359234	5023359234	842.00
290	09/05/2014	A	968855	7	31	199	5023359234	842	0.00
291	09/05/2014	A	971863	15	0	4977	5026552504	5026552504	456.00
292	09/05/2014	A	971863	7	31	4977	5026552504	456	0.00
293	09/05/2014	A	971878	15	0	4977	5026707066	5026707066	94.00
294	09/05/2014	A	971878	7	31	4977	5026707066	94	0.00
295	09/05/2014	A	971994	15	0	4977	5025916304	5025916304	254.00
296	09/05/2014	A	971994	7	31	4977	5025916304	254	0.00
297	09/05/2014	A	998789	15	0	259	1000014769	1000014769	274.00
298	09/05/2014	A	998789	7	31	259	1000014769	274	0.00
